編號,地震時間,經度,緯度,深度,規模,震央位置
95106   ,2006/12/26 下午 08:26:00,120.56,21.69,44.1,7,屏東恆春地震站南偏西方  40.2  公里
95104   ,2006/12/24 上午 01:28:00,122.32,24.81,9.8,5.4,宜蘭蘇澳地震站東偏北方  51.5  公里
95090   ,2006/10/12 下午 10:46:00,122.65,23.96,25.3,5.8,宜蘭南澳地震站東偏南方  104.5  公里
95065   ,2006/7/28 下午 03:40:00,122.66,23.97,28,6,宜蘭南澳地震站東偏南方  105.5  公里
95038   ,2006/4/16 上午 06:40:00,121.3,22.86,17.9,6,台東市地震站東北方  19.1  公里
95024   ,2006/4/1 下午 06:02:00,121.08,22.88,7.2,6.2,台東市地震站北偏西方  16.4  公里
94160   ,2005/11/30 上午 06:41:00,122.03,24.75,68,5.5,宜蘭蘇澳地震站東北方  23.9  公里
94148   ,2005/10/15 下午 11:51:00,123.81,25.1,190.9,7,宜蘭蘇澳地震站東偏北方  204.3  公里
94145   ,2005/10/6 上午 12:16:00,121.64,24.84,73.4,4.8,宜蘭市地震站西偏北方  15.1  公里
94133   ,2005/9/6 上午 09:16:00,122.28,23.96,16.8,6,花蓮市地震站東方  68.2  公里
94065   ,2005/4/30 下午 10:48:00,121.62,24.04,8.5,5.6,花蓮秀林地震站南偏東方  5.5  公里
94035   ,2005/3/6 上午 03:16:00,121.76,24.65,8.4,4.8,宜蘭蘇澳地震站西偏北方  11.0  公里
94019   ,2005/2/5 下午 07:00:00,121.75,24.25,4.9,5,宜蘭南澳地震站南方  19.7  公里
93105   ,2004/11/11 上午 10:16:00,122.16,24.31,27.3,6.1,宜蘭南澳地震站東偏南方  43.4  公里
93097   ,2004/10/23 下午 10:04:00,121.56,25.01,9.5,3.7,台北市地震站東偏南方  5.7  公里
93079   ,2004/8/8 下午 09:12:00,121.82,24.67,81.2,5,宜蘭蘇澳地震站西北方  8.2  公里
93068   ,2004/7/6 下午 03:32:00,122.27,24.9,6,5.2,宜蘭蘇澳地震站東北方  52.1  公里
93063   ,2004/6/3 上午 12:56:00,121.29,23.64,14.7,5.2,花蓮西林地震站西南方  24.8  公里
93052   ,2004/5/10 上午 04:06:00,121.77,24.57,69.2,5.5,宜蘭蘇澳地震站西偏南  10.4  公里
93045   ,2004/5/1 下午 03:56:00,121.53,24.08,21.6,5.3,花蓮秀林地震站西方  7.8  公里
93001   ,2004/1/1 上午 11:15:00,121.71,23.34,24.9,5.4,花蓮玉里地震站東方  41.6  公里
92148   ,2003/12/29 下午 09:41:00,121.96,24.6,68.2,5.2,宜蘭蘇澳地震站東方  10.7  公里
92115   ,2003/11/12 上午 08:02:00,121.95,24.45,21.3,5.4,宜蘭蘇澳地震站南偏東方  19.6  公里
92085   ,2003/8/3 下午 07:35:00,121.65,24.21,57.7,5.3,花蓮秀林地震站北偏東方  15.4  公里
92079   ,2003/7/18 上午 10:41:00,121.84,24.59,74.4,5.1,宜蘭蘇澳地震站西南方  3.4  公里
92055   ,2003/6/9 下午 01:08:00,121.85,24.38,2.4,5,宜蘭南澳地震站東偏南方  11.5  公里
92044   ,2003/5/15 上午 09:17:00,122.52,25.06,17.6,5.2,基隆市地震站東方  76.0  公里
91196   ,2002/12/25 下午 03:01:00,121.83,24.46,55.8,5.2,宜蘭南澳地震站東偏北方  9.1  公里
91184   ,2002/11/10 上午 08:07:00,121.84,24.89,110.3,5.4,宜蘭市地震站東北方  16.5  公里
91138   ,2002/9/8 上午 06:59:00,121.69,24.45,41.4,5.3,宜蘭南澳地震站西偏北方  6.6  公里
91130   ,2002/8/30 上午 04:05:00,121.81,24.8,82.9,5.2,宜蘭市地震站東北方  6.9  公里
91113   ,2002/7/11 下午 03:36:00,122.41,23.94,14.2,5.8,花蓮市地震站東方  81.7  公里
91003   ,2002/1/9 上午 01:00:00,120.9,24.38,1,5,苗栗三義地震站東偏南方  13.8  公里
90073   ,2001/6/30 下午 12:07:00,121.54,24.06,23.4,5,花蓮秀林地震站西偏南  6.9  公里
90032   ,2001/3/2 上午 12:37:00,121,23.84,10.9,5.8,南投名間地震站東方  31.3  公里
90011   ,2001/1/23 上午 07:27:00,122.13,24.32,13.1,5.2,宜蘭南澳地震站東偏南方  40.8  公里
90005   ,2001/1/11 下午 04:36:00,120.99,24.08,25.2,4.8,台中德基地震站西南方  25.7  公里
89266   ,2000/12/30 上午 02:03:00,121.88,24.36,7,5.3,宜蘭南澳地震站東偏南方  15.5  公里
89248   ,2000/11/20 上午 08:07:00,121.91,24.79,8.6,4.8,宜蘭市地震站東方  15.9  公里
89198   ,2000/9/20 下午 09:24:00,121.71,24.73,78.9,4.6,宜蘭市地震站西南方  5.8  公里
89181   ,2000/9/1 下午 05:24:00,121.14,24.08,7.7,4.9,台中德基地震站南方  18.9  公里
