編號,地震時間,經度,緯度,深度,規模,震央位置
98144   ,2009/12/19 下午 09:02:00,121.66,23.79,43.8,6.9,花蓮市地震站南偏東方  21.4  公里
94161   ,2005/12/5 下午 06:15:00,121.58,25,10.7,3.7,台北市地震站東偏南方  7.3  公里
93094   ,2004/10/15 下午 12:08:00,122.85,24.46,91,7.1,宜蘭蘇澳地震站東方  101.8  公里
91071   ,2002/5/15 上午 11:46:00,121.87,24.65,8.5,6.2,宜蘭蘇澳地震站北偏東方  4.9  公里
89187   ,2000/9/10 下午 04:54:00,121.58,24.09,17.7,6.2,花蓮秀林地震站西偏北方  2.2  公里
88128   ,1999/9/26 上午 07:52:00,121,23.85,12.1,6.8,南投日月潭地震站東偏南方  10.1  公里
88043   ,1999/9/21 上午 01:47:00,120.82,23.85,8,7.3,南投日月潭地震站西偏南  10.0  公里
85008   ,1996/3/5 下午 10:52:00,122.36,23.93,6,6.4,花蓮市地震站東方  76.3  公里
84036   ,1995/6/25 下午 02:59:00,121.67,24.61,39.9,6.5,宜蘭牛鬥地震站東偏南方  10.2  公里
