編號,地震時間,經度,緯度,深度,規模,震央位置
88064   ,1999/9/21 上午 05:46:00,120.86,23.58,8.6,6.6,嘉義阿里山地震站北偏東方  9.6  公里
88032   ,1999/7/12 上午 04:25:00,121.84,24.61,73.2,5.1,宜蘭蘇澳地震站西方  1.7  公里
88026   ,1999/6/4 上午 12:11:00,122.49,24.4,61.7,6.2,宜蘭蘇澳地震站東偏南方  67.5  公里
88019   ,1999/5/7 上午 09:03:00,121.89,24.74,4.2,5.4,宜蘭市地震站東方  14.0  公里
88009   ,1999/2/22 下午 09:48:00,122.65,23.98,4.2,5.9,宜蘭南澳地震站東偏南方  104.7  公里
87023   ,1998/5/30 下午 02:22:00,122.13,24.27,37.8,5.3,宜蘭南澳地震站東偏南方  42.3  公里
86026   ,1997/5/15 下午 06:43:00,121.93,24.79,93,4.9,宜蘭市地震站東方  18.3  公里
86022   ,1997/4/28 上午 07:59:00,121.96,24.61,60.6,5.2,宜蘭蘇澳地震站東方  10.4  公里
86002   ,1997/1/5 下午 06:34:00,122.53,24.62,1.1,5.8,宜蘭蘇澳地震站東方  67.9  公里
85036   ,1996/11/26 下午 04:22:00,121.7,24.16,26.2,5.4,花蓮秀林地震站東北方  13.0  公里
85004   ,1996/1/23 上午 03:22:00,121.72,24.93,66.9,5.1,宜蘭市地震站北方  18.6  公里
84065   ,1995/12/1 上午 11:17:00,121.64,24.61,45.1,5.7,宜蘭牛鬥地震站東偏南方  7.8  公里
84046   ,1995/8/20 下午 05:25:00,121.58,24.69,56.9,4.9,宜蘭牛鬥地震站北方  6.1  公里
84045   ,1995/8/7 下午 07:59:00,121.87,24.88,115.7,4.8,宜蘭市地震站東北方  17.9  公里
84019   ,1995/4/24 下午 06:04:00,121.62,24.65,63.1,5.3,宜蘭牛鬥地震站東偏北方  5.2  公里
84012   ,1995/3/24 下午 12:13:00,121.86,24.64,76,5.6,宜蘭蘇澳地震站北方  3.3  公里
84007   ,1995/2/23 下午 01:19:00,121.69,24.2,21.7,5.8,花蓮秀林地震站東北方  16.0  公里
