編號,地震時間,經度,緯度,深度,規模,震央位置
91089   ,2002/5/20 下午 05:49:00,121.85,24.44,16.3,4.7,宜蘭南澳地震站東方  10.7  公里
91082   ,2002/5/15 下午 08:08:00,121.88,24.66,8,4.1,宜蘭蘇澳地震站北偏東方  6.3  公里
91079   ,2002/5/15 下午 12:42:00,121.84,24.66,10.1,4.6,宜蘭蘇澳地震站北偏西方  5.7  公里
91078   ,2002/5/15 下午 12:30:00,121.81,24.67,4.7,4.6,宜蘭蘇澳地震站西北方  8.8  公里
91073   ,2002/5/15 上午 11:59:00,121.95,24.67,6,4.6,宜蘭蘇澳地震站東北方  11.0  公里
91072   ,2002/5/15 上午 11:53:00,121.9,24.64,2.4,4.5,宜蘭蘇澳地震站東北方  5.0  公里
91062   ,2002/4/28 下午 09:23:00,122.87,24.13,9.2,5.5,宜蘭蘇澳地震站東偏南方  115.5  公里
91060   ,2002/4/22 下午 11:14:00,122.02,24.34,12,4.9,宜蘭南澳地震站東偏南方  29.1  公里
91048   ,2002/4/11 上午 03:26:00,121.95,24.58,11,3.9,宜蘭蘇澳地震站東偏南方  9.4  公里
91044   ,2002/4/8 上午 07:20:00,121.85,24.28,12.5,4.7,宜蘭南澳地震站南偏東方  19.4  公里
91035   ,2002/4/4 上午 02:06:00,121.87,24.32,12.9,5.3,宜蘭南澳地震站東南方  16.7  公里
91034   ,2002/4/3 下午 02:47:00,122.32,24.14,13.4,5.1,宜蘭南澳地震站東偏南方  66.5  公里
91031   ,2002/4/1 上午 01:09:00,121.87,24.39,14.3,4.6,宜蘭南澳地震站東偏南方  13.2  公里
91027   ,2002/3/31 下午 04:02:00,121.92,24.42,19.4,4.5,宜蘭南澳地震站東方  17.6  公里
91025   ,2002/3/27 上午 12:25:00,121.72,24.76,48.6,4.6,宜蘭市地震站西方  3.8  公里
91020   ,2002/3/4 下午 05:04:00,121.44,23.77,14.9,4.6,花蓮西林地震站南方  4.8  公里
91006   ,2002/1/15 上午 10:58:00,121.96,24.88,90.6,4.7,宜蘭市地震站東偏北方  24.4  公里
91003   ,2002/1/9 上午 01:00:00,120.9,24.38,1,5,苗栗三義地震站東偏南方  13.8  公里
90133   ,2001/12/23 上午 05:40:00,122.91,24.12,8.7,5.4,宜蘭蘇澳地震站東偏南方  119.7  公里
90131   ,2001/12/16 上午 09:04:00,122.38,24.52,68.7,5.1,宜蘭蘇澳地震站東方  54.0  公里
90082   ,2001/7/26 上午 10:19:00,121.51,24.06,21.9,4.6,花蓮秀林地震站西方  9.4  公里
90076   ,2001/7/13 下午 07:33:00,120.99,24.43,5.3,4.6,苗栗市地震站東南方  22.7  公里
90075   ,2001/7/9 下午 11:20:00,121.77,24.01,43.4,5.1,花蓮市地震站東偏北方  16.3  公里
90067   ,2001/6/19 下午 01:43:00,121.1,23.2,11.7,5.2,台東利稻地震站東方  7.5  公里
90065   ,2001/6/19 下午 01:16:00,121.08,23.18,6.6,5.4,台東利稻地震站東偏南方  5.4  公里
90051   ,2001/5/14 上午 07:38:00,121.86,24.45,18.8,4.3,宜蘭南澳地震站東偏北方  12.1  公里
90042   ,2001/4/24 下午 04:26:00,122.18,24.78,82.8,4.8,宜蘭蘇澳地震站東偏北方  38.0  公里
90032   ,2001/3/2 上午 12:37:00,121,23.84,10.9,5.8,南投名間地震站東方  31.3  公里
90005   ,2001/1/11 下午 04:36:00,120.99,24.08,25.2,4.8,台中德基地震站西南方  25.7  公里
90003   ,2001/1/10 上午 03:16:00,121.78,23.96,34.7,4.9,花蓮市地震站東方  17.0  公里
90001   ,2001/1/3 上午 06:54:00,121.77,24.35,8.5,4.7,宜蘭南澳地震站南偏東方  8.4  公里
89265   ,2000/12/28 下午 05:01:00,122.04,23.44,9.2,5.3,花蓮市地震站東南方  73.7  公里
89260   ,2000/12/13 上午 04:32:00,122.68,23.97,19.4,5.3,宜蘭南澳地震站東偏南方  107.0  公里
89238   ,2000/10/30 下午 12:10:00,121.12,24.95,16,4.1,桃園中壢地震站西偏南  7.8  公里
89237   ,2000/10/30 下午 12:08:00,121.11,24.96,16.2,4.2,桃園中壢地震站西方  8.7  公里
小區域,2000/10/26 下午 07:55:00,121.82,24.72,81,4.3,宜蘭市地震站東偏南方  8.0  公里
89198   ,2000/9/20 下午 09:24:00,121.71,24.73,78.9,4.6,宜蘭市地震站西南方  5.8  公里
89197   ,2000/9/17 上午 07:04:00,122.5,23.92,15.1,5.3,花蓮市地震站東方  90.0  公里
89181   ,2000/9/1 下午 05:24:00,121.14,24.08,7.7,4.9,台中德基地震站南方  18.9  公里
89169   ,2000/8/23 上午 08:49:00,121.63,23.64,27.5,5.6,花蓮西林地震站東南方  27.7  公里
89138   ,2000/7/25 上午 06:10:00,122.48,24.71,110.1,5.7,宜蘭蘇澳地震站東方  63.7  公里
小區域,2000/7/16 上午 11:21:00,122.23,20.51,33,6.7,台東蘭嶼地震站南偏東方  182.9  公里
89133   ,2000/7/14 下午 10:45:00,121.8,24.64,74.9,4.6,宜蘭蘇澳地震站西偏北方  7.1  公里
89130   ,2000/7/14 上午 08:07:00,121.73,24.05,7.2,5.7,花蓮秀林地震站東偏南方  13.1  公里
89123   ,2000/7/10 下午 02:23:00,121.86,24.47,19.3,4.7,宜蘭南澳地震站東偏北方  11.7  公里
89112   ,2000/6/19 上午 06:44:00,121.12,23.97,23.7,4.8,台中德基地震站南方  31.7  公里
89090   ,2000/6/6 上午 09:49:00,121.86,24.49,21.6,4.8,宜蘭南澳地震站東偏北方  13.4  公里
89079   ,2000/5/18 下午 11:18:00,121.04,24.2,12.7,5.1,台中德基地震站西偏南  13.8  公里
89072   ,2000/5/17 上午 11:27:00,121.09,24.19,9.2,5,台中德基地震站西南方  9.6  公里
89071   ,2000/5/17 上午 11:25:00,121.1,24.19,9.7,5.6,台中德基地震站西南方  9.0  公里
89065   ,2000/5/6 下午 09:41:00,121.56,24.02,27,5.1,花蓮市地震站西北方  7.6  公里
89055   ,2000/4/19 下午 10:04:00,121.03,24.28,12.8,5.2,台中德基地震站西偏北方  13.5  公里
89031   ,2000/2/25 下午 02:12:00,124.45,25.02,93.8,6.2,宜蘭蘇澳地震站東方  265.6  公里
89026   ,2000/2/16 上午 05:33:00,120.74,23.32,14.7,5.6,嘉義大埔地震站東偏北方  14.5  公里
89012   ,2000/1/17 上午 04:22:00,120.96,24.41,5.8,4.7,苗栗三義地震站東方  19.2  公里
88294   ,1999/12/9 上午 12:01:00,121.69,24.56,40.2,4.5,宜蘭牛鬥地震站東偏南方  13.9  公里
88291   ,1999/12/7 上午 02:14:00,122.01,24.86,100.2,4.8,宜蘭市地震站東偏北方  27.5  公里
88273   ,1999/11/17 下午 03:35:00,120.64,24.02,9.6,5.3,彰化市地震站東南方  11.1  公里
88247   ,1999/10/30 下午 09:01:00,121.35,24.03,16.1,4.9,花蓮西林地震站北偏西方  25.7  公里
88245   ,1999/10/30 下午 04:27:00,121.32,24.02,14.4,5.2,花蓮西林地震站北偏西方  26.0  公里
88243   ,1999/10/30 下午 03:02:00,121.34,24.03,8.9,4.7,花蓮西林地震站北偏西方  25.9  公里
88224   ,1999/10/23 上午 01:57:00,120.43,23.53,16.7,4.9,嘉義市地震站北方  3.6  公里
88210   ,1999/10/22 上午 11:10:00,120.43,23.53,16.7,6,嘉義市地震站北方  4.1  公里
88196   ,1999/10/16 下午 08:31:00,121.32,24,3,4.9,花蓮西林地震站北偏西方  24.7  公里
88171   ,1999/10/8 上午 12:34:00,121.05,24.54,1.9,4.8,苗栗市地震站東方  22.9  公里
88157   ,1999/10/3 上午 01:14:00,122.5,23.96,6.6,5.3,花蓮市地震站東方  90.5  公里
88152   ,1999/10/1 下午 08:54:00,120.91,23.69,5.2,5.1,南投名間地震站東南方  29.7  公里
88145   ,1999/9/30 上午 09:04:00,121.09,24.25,7.6,5.1,台中德基地震站西方  7.0  公里
88136   ,1999/9/27 下午 07:55:00,121.35,23.71,10.7,5.2,花蓮西林地震站西南方  14.8  公里
88135   ,1999/9/27 下午 03:28:00,121.26,24.15,4.3,5.2,台中德基地震站東南方  14.5  公里
88119   ,1999/9/25 上午 10:42:00,121.19,24.23,5.5,4.4,台中德基地震站東南方  3.6  公里
88114   ,1999/9/24 上午 11:38:00,121,24.17,4.1,5.1,台中德基地震站西偏南  18.1  公里
88112   ,1999/9/24 上午 05:39:00,121.39,23.94,11.8,5.2,花蓮西林地震站北偏西方  15.3  公里
88109   ,1999/9/23 下午 08:44:00,121.09,23.93,18.4,5.6,台中德基地震站南偏西方  36.7  公里
88107   ,1999/9/23 上午 07:45:00,121.05,22.59,47.4,4.3,台東市地震站南偏西方  20.9  公里
88102   ,1999/9/22 下午 08:17:00,120.98,23.74,24,6,南投日月潭地震站南偏東方  17.4  公里
88096   ,1999/9/22 上午 10:19:00,121.38,23.82,15.7,5,花蓮西林地震站西方  6.6  公里
88090   ,1999/9/22 上午 06:17:00,121.38,23.93,11.7,5.2,花蓮西林地震站北偏西方  14.3  公里
88068   ,1999/9/21 上午 08:45:00,120.99,23.87,9.1,5.1,南投名間地震站東方  30.0  公里
88067   ,1999/9/21 上午 07:18:00,120.91,23.45,9.6,5.1,台東利稻地震站北偏西方  31.6  公里
88066   ,1999/9/21 上午 06:56:00,120.97,23.88,12.6,4.9,南投名間地震站東方  28.1  公里
88062   ,1999/9/21 上午 04:43:00,121.33,23.76,8.8,5.2,花蓮西林地震站西偏南  12.6  公里
88061   ,1999/9/21 上午 04:40:00,121.34,23.96,5.2,5.1,花蓮西林地震站北偏西方  19.5  公里
88060   ,1999/9/21 上午 04:21:00,121.02,24.1,6.7,5.2,台中德基地震站西南方  22.0  公里
88058   ,1999/9/21 上午 03:40:00,120.92,23.54,9,5.3,台東利稻地震站北偏西方  40.9  公里
88057   ,1999/9/21 上午 03:28:00,120.97,23.9,8.5,5.1,南投名間地震站東方  28.8  公里
88054   ,1999/9/21 上午 02:57:00,120.82,24.13,6.7,4.9,台中市地震站東方  14.0  公里
88053   ,1999/9/21 上午 02:53:00,121.03,23.93,11.2,4.7,南投名間地震站東方  35.2  公里
88052   ,1999/9/21 上午 02:50:00,121,23.93,11.1,4.8,南投名間地震站東方  31.8  公里
88051   ,1999/9/21 上午 02:47:00,120.98,23.9,8.2,4.8,南投名間地震站東方  29.7  公里
88050   ,1999/9/21 上午 02:32:00,121.02,23.82,12.4,5.1,南投名間地震站東方  34.5  公里
88049   ,1999/9/21 上午 02:21:00,121.1,23.96,25.6,5.2,台中德基地震站南偏西方  32.4  公里
88036   ,1999/8/7 下午 02:09:00,121.82,24.64,73.1,4.6,宜蘭蘇澳地震站西北方  5.0  公里
88022   ,1999/5/8 下午 03:54:00,121.87,24.78,11.3,4.2,宜蘭市地震站東方  11.8  公里
88021   ,1999/5/8 下午 03:52:00,121.88,24.78,9.8,4.3,宜蘭市地震站東方  12.4  公里
87056   ,1998/12/24 下午 06:37:00,121.88,24.63,75.4,4.6,宜蘭蘇澳地震站東北方  3.2  公里
87053   ,1998/12/14 上午 08:59:00,122.16,24.29,38.7,5.2,宜蘭南澳地震站東偏南方  43.9  公里
87046   ,1998/11/18 上午 06:27:00,120.79,22.83,16.5,5.5,高雄甲仙地震站東南方  34.3  公里
87039   ,1998/9/13 下午 01:34:00,123.01,24.24,28.1,5.8,宜蘭蘇澳地震站東偏南方  124.2  公里
87027   ,1998/7/17 下午 12:51:00,120.66,23.5,2.8,6.2,嘉義阿里山地震站西方  15.4  公里
87023   ,1998/5/30 下午 02:22:00,122.13,24.27,37.8,5.3,宜蘭南澳地震站東偏南方  42.3  公里
87020   ,1998/5/10 上午 04:53:00,121.91,24.82,83.6,5.4,宜蘭市地震站東偏北方  16.6  公里
87016   ,1998/4/29 下午 05:18:00,121.94,24.4,16.6,4.2,宜蘭南澳地震站東方  19.2  公里
86058   ,1997/11/14 下午 12:29:00,121.76,24.16,3.1,5.4,花蓮秀林地震站東偏北方  17.9  公里
86047   ,1997/10/12 上午 02:24:00,122.58,24.98,146.4,6.1,基隆市地震站東偏南方  83.1  公里
86045   ,1997/9/28 下午 03:54:00,121.78,24.61,68.6,5,宜蘭蘇澳地震站西方  7.7  公里
86041   ,1997/8/20 下午 03:03:00,120.94,24.25,37.4,4.4,台中德基地震站西方  22.2  公里
86029   ,1997/6/1 上午 07:21:00,121.87,24.62,64.1,4.8,宜蘭蘇澳地震站東北方  1.8  公里
86028   ,1997/5/28 下午 10:10:00,121.93,24.52,9.2,3.7,宜蘭蘇澳地震站東南方  12.0  公里
86027   ,1997/5/16 下午 07:24:00,121.95,24.58,10,4.2,宜蘭蘇澳地震站東偏南方  9.9  公里
86017   ,1997/3/23 上午 07:37:00,121.76,24.44,8.6,4.5,宜蘭南澳地震站東北方  2.3  公里
86010   ,1997/2/11 上午 12:50:00,121.76,24.13,20,4.9,花蓮秀林地震站東偏北方  16.6  公里
85038   ,1996/12/16 上午 02:56:00,121.42,24.02,71.4,4.8,花蓮秀林地震站西偏南  19.7  公里
85027   ,1996/9/6 上午 07:42:00,121.37,22,14.8,7.1,台東蘭嶼地震站西方  20.2  公里
85018   ,1996/5/29 上午 05:53:00,121.58,24.05,25,5.1,花蓮秀林地震站西南方  3.8  公里
85010   ,1996/3/19 下午 03:25:00,122.31,23.91,1.6,5,花蓮市地震站東方  71.1  公里
84069   ,1995/12/21 上午 07:56:00,121.71,24.05,33.7,5.1,花蓮秀林地震站東偏南方  11.5  公里
84067   ,1995/12/8 下午 09:14:00,122.35,24.27,50,5.3,宜蘭蘇澳地震站東南方  62.8  公里
84053   ,1995/11/7 上午 03:31:00,121.82,24.45,7.9,4.6,宜蘭南澳地震站東偏北方  7.1  公里
84048   ,1995/10/4 下午 01:01:00,122,24.87,4.8,4.5,宜蘭市地震站東偏北方  27.6  公里
84045   ,1995/8/7 下午 07:59:00,121.87,24.88,115.7,4.8,宜蘭市地震站東北方  17.9  公里
84044   ,1995/7/28 下午 04:00:00,121.96,24.71,71.5,4.7,宜蘭蘇澳地震站東北方  15.3  公里
84042   ,1995/7/15 上午 01:40:00,121.84,24.32,8.6,4.9,宜蘭南澳地震站東南方  15.1  公里
84039   ,1995/7/7 上午 11:04:00,121.09,23.89,13.1,5.3,花蓮西林地震站西偏北方  36.9  公里
84038   ,1995/7/6 上午 01:33:00,122.12,24.83,8.9,4.6,宜蘭蘇澳地震站東北方  35.9  公里
84033   ,1995/5/31 下午 10:09:00,121.88,24.44,37.3,4.8,宜蘭南澳地震站東方  13.1  公里
84029   ,1995/5/16 上午 02:58:00,122.36,24.74,79.4,5.4,宜蘭蘇澳地震站東偏北方  53.0  公里
84001   ,1995/1/5 上午 06:14:00,121.7,24.96,91.5,4.5,台北市地震站東偏南方  20.2  公里
