編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2017/3/21 上午 02:50:00,121.55,24.63,77.1,3.9,宜蘭縣政府西偏南方  23.8  公里 (位於宜蘭縣大同鄉)
106007   ,2017/1/25 下午 03:33:00,121.83,24.24,57.5,4.9,花蓮縣政府東北方  34.9  公里 (位於臺灣東部海域)
小區域,2017/1/2 上午 09:20:00,121.84,24.59,76.4,4,宜蘭縣政府南偏東方  17.1  公里 (位於宜蘭縣蘇澳鎮)
105112   ,2016/12/30 上午 08:30:00,122.08,24.81,75.2,5.2,宜蘭縣政府東偏北方  33.1  公里 (位於臺灣東部海域)
小區域,2016/12/3 下午 02:48:00,121.83,24.72,58.3,3.8,宜蘭縣政府東方  7.1  公里 (位於宜蘭縣近海)
小區域,2016/12/2 下午 01:45:00,121.77,24.69,73.2,3.9,宜蘭縣政府南方  4.5  公里 (位於宜蘭縣五結鄉)
小區域,2016/11/29 下午 11:10:00,121.93,24.42,25.8,4.4,宜蘭縣政府南偏東方  38.7  公里 (位於臺灣東部海域)
小區域,2016/11/29 下午 02:33:00,122.04,24.85,9,4.2,宜蘭縣政府東偏北方  31.2  公里 (位於臺灣東部海域)
105102   ,2016/11/12 上午 06:25:00,122.43,24.07,31.2,5.3,花蓮縣政府東方  82.8  公里 (位於臺灣東部海域)
小區域,2016/10/29 下午 02:44:00,121.55,24.71,31.6,3.6,宜蘭縣政府西方  22.1  公里 (位於宜蘭縣大同鄉)
105097   ,2016/10/6 下午 11:52:00,121.34,22.63,23.7,6.2,臺東縣政府東偏南方  24.4  公里 (位於臺灣東部海域)
105094   ,2016/9/28 下午 05:38:00,122.75,24.45,96.9,5.5,宜蘭縣政府東偏南方  105.1  公里 (位於臺灣東部海域)
105092   ,2016/9/5 上午 10:02:00,121.58,24.74,78,3.7,宜蘭縣政府西方  18.9  公里 (位於新北市烏來區)
小區域,2016/8/12 下午 07:42:00,121.57,25.14,5.7,3.1,臺北市政府北方  10.8  公里 (位於臺北市士林區)
105088   ,2016/7/27 下午 12:02:00,121.75,24.27,7.7,4.8,花蓮縣政府北偏東方  33.4  公里 (位於花蓮縣近海)
小區域,2016/7/10 下午 10:32:00,121.62,24.63,54,3.8,宜蘭縣政府西南方  18.0  公里 (位於宜蘭縣大同鄉)
105082   ,2016/6/24 上午 05:05:00,123.42,23.53,47,6.1,花蓮縣政府東偏南方  190.4  公里 (位於臺灣東部海域)
105080   ,2016/6/20 上午 08:39:00,121.53,23.16,39.4,5.1,臺東縣政府東北方  59.8  公里 (位於臺灣東部海域)
105070   ,2016/5/18 上午 08:22:00,121.57,23.22,45.8,5.2,臺東縣政府東北方  67.0  公里
105065   ,2016/5/13 下午 04:43:00,122.02,24.69,11.1,4.4,宜蘭縣政府東方  26.5  公里
小區域,2016/5/13 上午 09:37:00,121.75,24.59,70.6,4,宜蘭縣政府南方  16.0  公里
小區域,2016/5/12 下午 02:36:00,122.05,24.69,11.7,4.3,宜蘭縣政府東方  29.4  公里 (位於臺灣東部海域)
105061   ,2016/5/12 上午 11:20:00,121.98,24.69,11.4,4.6,宜蘭縣政府東方  22.0  公里
105055   ,2016/5/7 下午 10:51:00,121.76,24.22,11.8,4.8,花蓮縣政府北偏東方  29.0  公里
105047   ,2016/5/1 下午 01:25:00,121.83,24.23,12.6,4.5,花蓮縣政府東北方  34.4  公里 (位於臺灣東部海域)
105043   ,2016/4/28 上午 09:14:00,121.8,24.28,12.6,4.5,花蓮縣政府北偏東方  37.2  公里
105040   ,2016/4/28 上午 02:19:00,121.23,23.28,15.2,5.5,臺東縣政府北方  59.1  公里
小區域,2016/4/11 上午 11:25:00,121.79,24.56,65.4,4.2,宜蘭縣政府南方  19.6  公里
小區域,2016/2/29 上午 09:36:00,121.73,24.92,112.6,4.3,臺北市政府東南方  21.2  公里
小區域,2016/2/16 下午 08:20:00,121.95,24.83,8.6,4,宜蘭縣政府東偏北方  21.5  公里
105005   ,2016/2/2 下午 10:19:00,123.54,25.42,203.7,6.7,基隆市政府東方  183.2  公里
小區域,2016/1/22 上午 04:37:00,122.31,24.96,14,4.4,基隆市政府東偏南方  59.9  公里
小區域,2015/12/27 下午 03:00:00,122.59,24.57,93.6,4.8,宜蘭縣政府東方  85.9  公里 (位於臺灣東部海域)
104098   ,2015/12/26 上午 05:10:00,121.23,24.8,11.3,3.7,新竹縣政府東方  22.4  公里 (位於新竹縣關西鎮)
104097   ,2015/12/25 上午 05:20:00,121.03,24.05,21.2,4.6,臺中市政府東偏南方  36.9  公里 (位於南投縣仁愛鄉)
小區域,2015/11/12 上午 05:31:00,121.85,24.99,133.1,4.6,基隆市政府東南方  19.2  公里 (位於新北市雙溪區)
