time,att,field,Home_team,Visit_team
2005/10/18,5187,台南,統一獅,兄弟象
2005/10/17,4121,新莊,統一獅,興農牛
2005/10/16,1772,天母,誠泰Cobras,兄弟象
2005/10/15,2098,澄清湖,中信鯨,誠泰Cobras
2005/10/14,5188,立德,興農牛,兄弟象
2005/10/13,3441,澄清湖,中信鯨,兄弟象
2005/10/11,6035,澄清湖,興農牛,誠泰Cobras
2005/10/10,4232,立德,LaNew熊,誠泰Cobras
2005/10/9,1546,天母,LaNew熊,興農牛
2005/10/8,1722,台南,中信鯨,中信鯨
2005/10/7,2385,新莊,興農牛,興農牛
2005/10/6,1609,新竹,中信鯨,興農牛
2005/10/4,994,台南,LaNew熊,中信鯨
2005/10/1,937,台南,LaNew熊,兄弟象
2005/9/30,7277,立德,興農牛,LaNew熊
2005/9/29,808,台南,中信鯨,兄弟象
2005/9/28,3749,台中,兄弟象,LaNew熊
2005/9/27,4559,新莊,誠泰Cobras,中信鯨
2005/9/25,1618,澄清湖,兄弟象,中信鯨
2005/9/24,2187,澄清湖,統一獅,中信鯨
2005/9/23,1031,羅東,統一獅,統一獅
2005/9/22,3377,新莊,誠泰Cobras,興農牛
2005/9/20,2799,新莊,兄弟象,統一獅
2005/9/18,2555,天母,誠泰Cobras,誠泰Cobras
2005/9/17,852,新莊,統一獅,誠泰Cobras
2005/9/16,755,新莊,統一獅,中信鯨
2005/9/15,2366,斗六,誠泰Cobras,誠泰Cobras
2005/9/14,5041,新竹,統一獅,中信鯨
2005/9/13,3561,台南,興農牛,誠泰Cobras
2005/9/11,1795,嘉義市,興農牛,統一獅
2005/9/10,1646,澄清湖,中信鯨,兄弟象
2005/9/9,3188,台南,統一獅,統一獅
2005/9/8,941,台南,中信鯨,統一獅
2005/9/6,2516,澄清湖,興農牛,兄弟象
2005/9/5,1856,羅東,興農牛,統一獅
2005/9/4,1668,羅東,兄弟象,LaNew熊
2005/9/3,1177,天母,誠泰Cobras,興農牛
2005/9/2,1581,新莊,LaNew熊,LaNew熊
2005/8/30,8840,屏東,兄弟象,LaNew熊
2005/8/28,1332,澄清湖,LaNew熊,統一獅
2005/8/27,933,澄清湖,LaNew熊,統一獅
2005/8/26,1009,嘉義縣,誠泰Cobras,兄弟象
2005/8/24,4654,新竹,兄弟象,兄弟象
2005/8/23,1855,澄清湖,兄弟象,興農牛
2005/8/21,1511,台南,誠泰Cobras,誠泰Cobras
2005/8/19,1367,台南,誠泰Cobras,誠泰Cobras
2005/8/17,1835,立德,LaNew熊,LaNew熊
2005/8/14,3621,新莊,兄弟象,中信鯨
2005/8/13,1103,天母,統一獅,統一獅
2005/8/11,4227,新莊,兄弟象,中信鯨
2005/8/10,2786,台中,興農牛,統一獅
2005/8/8,2584,嘉義市,興農牛,中信鯨
2005/8/7,1046,嘉義縣,統一獅,LaNew熊
2005/8/6,12353,羅東,兄弟象,興農牛
2005/8/4,1005,台南,統一獅,中信鯨
2005/8/3,2299,新竹,興農牛,興農牛
2005/8/2,1396,台南,興農牛,LaNew熊
2005/7/31,1847,台中,統一獅,統一獅
2005/7/30,14056,天母,興農牛,兄弟象
2005/7/29,1343,新竹,中信鯨,統一獅
2005/7/28,4576,台中,興農牛,統一獅
2005/7/26,4591,台中,LaNew熊,兄弟象
2005/7/17,2453,澄清湖,LaNew熊,中信鯨
2005/7/16,782,天母,中信鯨,興農牛
2005/7/15,2156,澄清湖,興農牛,中信鯨
2005/7/14,556,澄清湖,中信鯨,中信鯨
2005/7/12,2004,新竹,LaNew熊,興農牛
2005/7/10,1505,澄清湖,LaNew熊,兄弟象
2005/7/9,1481,天母,中信鯨,誠泰Cobras
2005/7/8,1599,台南,誠泰Cobras,兄弟象
2005/7/7,3388,台南,兄弟象,兄弟象
2005/7/5,2077,羅東,誠泰Cobras,誠泰Cobras
2005/7/3,2294,天母,兄弟象,誠泰Cobras
2005/7/2,4894,台南,統一獅,LaNew熊
2005/7/1,2190,台中,統一獅,誠泰Cobras
2005/6/30,2030,花蓮,誠泰Cobras,興農牛
2005/6/28,2105,羅東,統一獅,兄弟象
2005/6/26,1015,台南,中信鯨,興農牛
2005/6/26,1004,台南,中信鯨,興農牛
2005/6/25,3038,天母,LaNew熊,LaNew熊
2005/6/24,2553,天母,中信鯨,中信鯨
2005/6/22,2274,新竹,LaNew熊,LaNew熊
2005/6/21,4021,台中,誠泰Cobras,統一獅
2005/6/19,2177,天母,誠泰Cobras,誠泰Cobras
2005/6/18,1457,澄清湖,LaNew熊,兄弟象
2005/6/18,5393,澄清湖,誠泰Cobras,兄弟象
2005/6/17,5576,天母,誠泰Cobras,統一獅
2005/6/14,1957,新竹,LaNew熊,統一獅
2005/6/12,6937,新莊,興農牛,中信鯨
2005/6/11,2661,澄清湖,統一獅,興農牛
2005/6/10,551,新莊,中信鯨,中信鯨
2005/6/9,1105,新竹,統一獅,中信鯨
2005/6/7,8485,澄清湖,興農牛,興農牛
2005/6/6,830,台南,中信鯨,誠泰Cobras
2005/6/5,5038,天母,兄弟象,兄弟象
2005/6/3,3460,新莊,誠泰Cobras,兄弟象
2005/6/2,3250,台中,誠泰Cobras,兄弟象
2005/5/31,6377,台南,兄弟象,誠泰Cobras
2005/5/29,2824,澄清湖,兄弟象,統一獅
2005/5/28,2322,台中,誠泰Cobras,興農牛
2005/5/27,2219,澄清湖,LaNew熊,統一獅
2005/5/26,3979,澄清湖,兄弟象,統一獅
2005/5/24,3194,台南,兄弟象,LaNew熊
2005/5/22,1687,台南,興農牛,中信鯨
2005/5/21,2122,天母,統一獅,LaNew熊
2005/5/20,3325,台南,兄弟象,中信鯨
2005/5/19,2173,台南,統一獅,中信鯨
2005/5/17,4043,新竹,誠泰Cobras,LaNew熊
2005/5/13,3433,澄清湖,兄弟象,誠泰Cobras
2005/5/10,1029,台中,統一獅,統一獅
2005/5/8,3103,新莊,兄弟象,中信鯨
2005/5/7,3491,台中,誠泰Cobras,誠泰Cobras
2005/5/6,4209,台中,誠泰Cobras,中信鯨
2005/5/5,1012,台中,統一獅,中信鯨
2005/5/3,2571,屏東,LaNew熊,誠泰Cobras
2005/5/1,4584,新莊,興農牛,興農牛
2005/4/30,2191,天母,LaNew熊,興農牛
2005/4/29,6536,澄清湖,中信鯨,中信鯨
2005/4/28,2173,新莊,中信鯨,興農牛
2005/4/27,2236,澄清湖,興農牛,中信鯨
2005/4/26,1325,台中,LaNew熊,誠泰Cobras
2005/4/24,2456,台中,興農牛,LaNew熊
2005/4/23,2223,新莊,中信鯨,兄弟象
2005/4/22,2370,新竹,中信鯨,LaNew熊
2005/4/21,1045,台中,統一獅,LaNew熊
2005/4/19,1503,台南,LaNew熊,兄弟象
2005/4/17,3096,澄清湖,誠泰Cobras,兄弟象
2005/4/16,10020,新竹,兄弟象,誠泰Cobras
2005/4/15,7160,澄清湖,兄弟象,兄弟象
2005/4/14,1106,澄清湖,LaNew熊,兄弟象
2005/4/10,2076,新莊,誠泰Cobras,LaNew熊
2005/4/9,1395,新莊,LaNew熊,LaNew熊
2005/4/8,10000,新莊,兄弟象,中信鯨
2005/4/7,8568,新莊,兄弟象,LaNew熊
2005/4/6,5124,新莊,興農牛,中信鯨
2005/4/5,8439,台南,統一獅,誠泰Cobras
2005/4/3,5037,天母,興農牛,兄弟象
2005/4/2,2891,澄清湖,中信鯨,統一獅
2005/4/1,1588,新莊,中信鯨,兄弟象
2005/3/29,6187,澄清湖,統一獅,統一獅
2005/3/26,2005,台南,興農牛,誠泰Cobras
2005/3/25,5100,澄清湖,統一獅,兄弟象
2005/3/24,1695,台南,中信鯨,誠泰Cobras
2005/3/23,1826,台中,中信鯨,兄弟象
2005/3/20,3299,澄清湖,興農牛,興農牛
2005/3/19,7029,澄清湖,兄弟象,興農牛
2005/3/18,3529,新莊,興農牛,中信鯨
2005/3/17,2182,澄清湖,統一獅,興農牛
2005/3/16,1189,新竹,統一獅,中信鯨
2005/3/13,5013,新莊,兄弟象,統一獅
2005/10/18,5025,台南,統一獅,兄弟象
2005/10/17,2461,新莊,中信鯨,興農牛
2005/10/16,1572,天母,LaNew熊,兄弟象
2005/10/15,4889,澄清湖,誠泰Cobras,誠泰Cobras
2005/10/14,2364,立德,中信鯨,兄弟象
2005/10/13,3740,澄清湖,統一獅,兄弟象
2005/10/11,4326,澄清湖,兄弟象,誠泰Cobras
2005/10/10,3092,立德,統一獅,誠泰Cobras
2005/10/9,4094,天母,統一獅,興農牛
2005/10/8,3102,台南,誠泰Cobras,中信鯨
2005/10/7,1077,新莊,誠泰Cobras,興農牛
2005/10/6,2905,新竹,兄弟象,興農牛
2005/10/4,3604,台南,兄弟象,中信鯨
2005/10/1,1030,台南,誠泰Cobras,兄弟象
2005/9/30,929,立德,誠泰Cobras,LaNew熊
2005/9/29,9346,台南,興農牛,兄弟象
2005/9/28,6201,台中,LaNew熊,LaNew熊
2005/9/27,4726,新莊,興農牛,中信鯨
2005/9/25,2777,澄清湖,興農牛,中信鯨
2005/9/24,6459,澄清湖,LaNew熊,中信鯨
2005/9/23,1379,羅東,中信鯨,統一獅
2005/9/22,3230,新莊,LaNew熊,興農牛
2005/9/20,934,新莊,中信鯨,統一獅
2005/9/18,453,天母,中信鯨,誠泰Cobras
2005/9/17,2635,新莊,興農牛,誠泰Cobras
2005/9/16,755,新莊,中信鯨,中信鯨
2005/9/15,4068,斗六,兄弟象,誠泰Cobras
2005/9/14,2471,新竹,誠泰Cobras,中信鯨
2005/9/13,6708,台南,兄弟象,誠泰Cobras
2005/9/11,5729,嘉義市,LaNew熊,統一獅
2005/9/10,2789,澄清湖,LaNew熊,兄弟象
2005/9/9,1688,台南,誠泰Cobras,統一獅
2005/9/8,3127,台南,兄弟象,統一獅
2005/9/6,1261,澄清湖,誠泰Cobras,兄弟象
2005/9/5,2183,羅東,LaNew熊,統一獅
2005/9/4,1973,羅東,LaNew熊,LaNew熊
2005/9/3,4536,天母,中信鯨,興農牛
2005/9/2,2111,新莊,統一獅,LaNew熊
2005/8/30,1013,屏東,中信鯨,LaNew熊
2005/8/28,9983,澄清湖,興農牛,統一獅
2005/8/27,1533,澄清湖,中信鯨,統一獅
2005/8/26,7033,嘉義縣,興農牛,兄弟象
2005/8/24,728,新竹,中信鯨,兄弟象
2005/8/23,8461,澄清湖,興農牛,興農牛
2005/8/21,1693,台南,統一獅,誠泰Cobras
2005/8/19,1716,台南,統一獅,誠泰Cobras
2005/8/17,2623,立德,中信鯨,LaNew熊
2005/8/14,4016,新莊,LaNew熊,中信鯨
2005/8/13,5000,天母,誠泰Cobras,統一獅
2005/8/11,5218,新莊,中信鯨,中信鯨
2005/8/10,2654,台中,中信鯨,統一獅
2005/8/8,1624,嘉義市,LaNew熊,中信鯨
2005/8/7,3335,嘉義縣,誠泰Cobras,LaNew熊
2005/8/6,1394,羅東,LaNew熊,興農牛
2005/8/4,1523,台南,中信鯨,中信鯨
2005/8/3,1151,新竹,統一獅,興農牛
2005/8/2,3026,台南,誠泰Cobras,LaNew熊
2005/7/31,3170,台中,統一獅,統一獅
2005/7/30,4275,天母,誠泰Cobras,兄弟象
2005/7/29,6533,新竹,兄弟象,統一獅
2005/7/28,3070,台中,兄弟象,統一獅
2005/7/26,2048,台中,統一獅,兄弟象
2005/7/17,2675,澄清湖,誠泰Cobras,中信鯨
2005/7/16,1803,天母,統一獅,興農牛
2005/7/15,2225,澄清湖,兄弟象,中信鯨
2005/7/14,4510,澄清湖,兄弟象,中信鯨
2005/7/12,2525,新竹,LaNew熊,興農牛
2005/7/10,1252,澄清湖,LaNew熊,兄弟象
2005/7/9,3447,天母,興農牛,誠泰Cobras
2005/7/8,2275,台南,興農牛,兄弟象
2005/7/7,2777,台南,誠泰Cobras,兄弟象
2005/7/5,4127,羅東,興農牛,誠泰Cobras
2005/7/3,2195,天母,統一獅,誠泰Cobras
2005/7/2,7830,台南,兄弟象,LaNew熊
2005/7/1,5156,台中,兄弟象,誠泰Cobras
2005/6/30,2103,花蓮,興農牛,興農牛
2005/6/28,1153,羅東,統一獅,兄弟象
2005/6/26,2623,台南,興農牛,興農牛
2005/6/26,5054,台南,兄弟象,興農牛
2005/6/25,5194,天母,兄弟象,LaNew熊
2005/6/24,2715,天母,中信鯨,中信鯨
2005/6/22,10500,新竹,兄弟象,LaNew熊
2005/6/21,1835,台中,誠泰Cobras,統一獅
2005/6/19,10500,天母,兄弟象,誠泰Cobras
2005/6/18,2661,澄清湖,LaNew熊,兄弟象
2005/6/18,1346,澄清湖,LaNew熊,兄弟象
2005/6/17,1221,天母,誠泰Cobras,統一獅
2005/6/14,8157,新竹,兄弟象,統一獅
2005/6/12,1102,新莊,誠泰Cobras,中信鯨
2005/6/11,1045,澄清湖,LaNew熊,興農牛
2005/6/10,920,新莊,LaNew熊,中信鯨
2005/6/9,2164,新竹,興農牛,中信鯨
2005/6/7,2855,澄清湖,中信鯨,興農牛
2005/6/6,6707,台南,興農牛,誠泰Cobras
2005/6/5,1733,天母,中信鯨,兄弟象
2005/6/3,9048,新莊,統一獅,兄弟象
2005/6/2,7356,台中,統一獅,兄弟象
2005/5/31,3830,台南,興農牛,誠泰Cobras
2005/5/29,1371,澄清湖,中信鯨,統一獅
2005/5/28,3156,台中,興農牛,興農牛
2005/5/27,6638,澄清湖,統一獅,統一獅
2005/5/26,5194,澄清湖,統一獅,統一獅
2005/5/24,2050,台南,中信鯨,LaNew熊
2005/5/22,9591,台南,LaNew熊,中信鯨
2005/5/21,2326,天母,中信鯨,LaNew熊
2005/5/20,6008,台南,興農牛,中信鯨
2005/5/19,5207,台南,興農牛,中信鯨
2005/5/17,4290,新竹,LaNew熊,LaNew熊
2005/5/13,1855,澄清湖,中信鯨,誠泰Cobras
2005/5/10,2417,台中,LaNew熊,統一獅
2005/5/8,1525,新莊,興農牛,中信鯨
2005/5/7,2570,台中,誠泰Cobras,誠泰Cobras
2005/5/6,5390,台中,統一獅,中信鯨
2005/5/5,2088,台中,誠泰Cobras,中信鯨
2005/5/3,7099,屏東,兄弟象,誠泰Cobras
2005/5/1,3053,新莊,兄弟象,興農牛
2005/4/30,5431,天母,統一獅,興農牛
2005/4/29,940,澄清湖,誠泰Cobras,中信鯨
2005/4/28,3038,新莊,統一獅,興農牛
2005/4/27,2630,澄清湖,兄弟象,中信鯨
2005/4/26,6443,台中,兄弟象,誠泰Cobras
2005/4/24,3086,台中,統一獅,LaNew熊
2005/4/23,5881,新莊,中信鯨,兄弟象
2005/4/22,6291,新竹,誠泰Cobras,LaNew熊
2005/4/21,4088,台中,中信鯨,LaNew熊
2005/4/19,3051,台南,LaNew熊,兄弟象
2005/4/17,1394,澄清湖,LaNew熊,兄弟象
2005/4/16,3055,新竹,誠泰Cobras,誠泰Cobras
2005/4/15,1002,澄清湖,LaNew熊,兄弟象
2005/4/14,1251,澄清湖,LaNew熊,兄弟象
2005/4/10,4040,新莊,中信鯨,LaNew熊
2005/4/9,3139,新莊,統一獅,LaNew熊
2005/4/8,12860,新莊,興農牛,中信鯨
2005/4/7,7072,新莊,興農牛,LaNew熊
2005/4/6,1049,新莊,中信鯨,中信鯨
2005/4/5,2122,台南,統一獅,誠泰Cobras
2005/4/3,968,天母,中信鯨,兄弟象
2005/4/2,7280,澄清湖,興農牛,統一獅
2005/4/1,6494,新莊,興農牛,兄弟象
2005/3/29,4164,澄清湖,LaNew熊,統一獅
2005/3/26,7602,台南,兄弟象,誠泰Cobras
2005/3/25,5018,澄清湖,LaNew熊,兄弟象
2005/3/24,2061,台南,誠泰Cobras,誠泰Cobras
2005/3/23,1001,台中,誠泰Cobras,兄弟象
2005/3/20,6683,澄清湖,兄弟象,興農牛
2005/3/19,2875,澄清湖,LaNew熊,興農牛
2005/3/18,4837,新莊,兄弟象,中信鯨
2005/3/17,1141,澄清湖,誠泰Cobras,興農牛
2005/3/16,1302,新竹,誠泰Cobras,中信鯨
2005/3/13,4248,新莊,興農牛,統一獅
2004/10/31,4678,天母,兄弟象,興農牛
2004/10/30,10500,台南,誠泰Cobras,中信鯨
2004/10/29,6421,新莊,兄弟象,興農牛
2004/10/28,3050,新莊,統一獅,興農牛
2004/10/26,2095,台南,統一獅,中信鯨
2004/10/24,3826,澄清湖,誠泰Cobras,統一獅
2004/10/23,4488,天母,兄弟象,兄弟象
