time,att,field,Home_team,Visit_team
2015/10/13,2891,澄清湖,義大犀牛,統一7-ELEVEn獅
2015/10/12,2271,洲際,中信兄弟,義大犀牛
2015/10/12,3114,桃園,Lamigo桃猿,統一7-ELEVEn獅
2015/10/11,4843,天母,中信兄弟,統一7-ELEVEn獅
2015/10/11,8112,桃園,Lamigo桃猿,義大犀牛
2015/10/10,6084,天母,中信兄弟,Lamigo桃猿
2015/10/10,4028,澄清湖,義大犀牛,統一7-ELEVEn獅
2015/10/8,3169,台南,統一7-ELEVEn獅,Lamigo桃猿
2015/10/8,2998,洲際,中信兄弟,義大犀牛
2015/10/7,2628,台南,統一7-ELEVEn獅,義大犀牛
2015/10/7,10000,新竹,中信兄弟,Lamigo桃猿
2015/10/6,4240,新竹,中信兄弟,統一7-ELEVEn獅
2015/10/5,2407,台南,統一7-ELEVEn獅,義大犀牛
2015/10/4,9086,洲際,中信兄弟,Lamigo桃猿
2015/10/4,2830,澄清湖,義大犀牛,統一7-ELEVEn獅
2015/10/3,6685,澄清湖,義大犀牛,中信兄弟
2015/10/2,4191,洲際,中信兄弟,Lamigo桃猿
2015/10/2,2536,澄清湖,義大犀牛,統一7-ELEVEn獅
2015/10/1,6851,桃園,Lamigo桃猿,中信兄弟
2015/9/30,5152,斗六,統一7-ELEVEn獅,義大犀牛
2015/9/30,4217,桃園,Lamigo桃猿,中信兄弟
2015/9/27,2870,澄清湖,義大犀牛,統一7-ELEVEn獅
2015/9/27,5552,新莊,中信兄弟,Lamigo桃猿
2015/9/26,4028,澄清湖,義大犀牛,統一7-ELEVEn獅
2015/9/26,9148,新莊,中信兄弟,Lamigo桃猿
2015/9/25,2797,澄清湖,義大犀牛,統一7-ELEVEn獅
2015/9/25,6342,新莊,中信兄弟,Lamigo桃猿
2015/9/24,2885,澄清湖,義大犀牛,中信兄弟
2015/9/24,3392,桃園,Lamigo桃猿,統一7-ELEVEn獅
2015/9/23,2996,澄清湖,義大犀牛,中信兄弟
2015/9/22,3219,桃園,Lamigo桃猿,統一7-ELEVEn獅
2015/9/20,8039,桃園,Lamigo桃猿,義大犀牛
2015/9/20,5048,台南,統一7-ELEVEn獅,中信兄弟
2015/9/19,12125,桃園,Lamigo桃猿,義大犀牛
